Skin_Type,Product_Name,Concern,product_url,product_pic,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Gender_Target,Packaging_Type,Ingredients,Cruelty_Free,Country_of_Origin
Dry,Angelskin Cream with 15% Glycerin,Broken barrier,https://www.1mg.com/otc/angelskin-cream-with-15-glycerin-for-dry-skin-otc321320,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/fnm5bzi8jedrqwjyevug.png",Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Dry,Combination",Aqualogica Glow+ Jello Moisturiser with Vitamin C & Papaya for Illuminating Moisturization,Hydration,"https://www.amazon.in/Aqualogica-Moisturiser-Illuminating-Moisturization-Hydration/dp/B09TPDG3B9?crid=271KZQ6SIMQMN&keywords=Aqualogica+face+mask&qid=1692112257&sprefix=aqualogica+face+mask,aps,252&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1&linkCode=sl1&tag=samaptibanerj-21&linkId=986694c29d8cf6057096abe97e5c69ed&language=en_IN&ref_=as_li_ss_tl",https://m.media-amazon.com/images/I/61ir4l4eg0L._SL1500_.jpg,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
Dry,Aquaoat Emcure Aqua Oat Moisturizing Cream,"Hydration,Skin soothing,Irritation",https://www.amazon.in/dp/B0BSLF2RXJ?tag=in_cs_fip_994-oct23-v2-21&ref=in_cs_fip_994-oct23-v2-21&th=1,https://m.media-amazon.com/images/I/614gwYFcJoL._SL1500_.jpg,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Dry,Combination",Aquasoft FC Advanced Facial Cream,Irritation,https://www.clinikally.com/products/aquasoft-fc-advance-facial-cream?currency=INR&variant=44113696620791&utm_medium=cpc&utm_source=google&utm_campaign=Google%20Shopping&stkn=aa4fff04d0da&utm_campaign=P-Max&utm_source=Google&utm_medium=Shopping+Ad&gad_source=1&gclid=Cj0KCQiArrCvBhCNARIsAOkAGcXHfxdTAp2ayRm1HKsY9aaj8zG2ixMdzWtD_JqvBsDYadyOIXeVaXIaAjOAEALw_wcB,https://www.clinikally.com/cdn/shop/files/Aquasoftfcadvancedfacialcream60g_2.jpg?v=1699437254&width=1000,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
Oily,Aziclear Anti Acne Facial Cleanser,Acne,https://www.clinikally.com/products/aziclear-anti-acne-facial-cleanser,https://www.clinikally.com/cdn/shop/products/AziclearAntiAcneFacialCleanser_01.jpg?v=1663071047&width=1000,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Dry,Combination,Oily,Sensitive",Aziderm Azelaic Acid Gel 10%,"Pigmentation,Acne",https://www.amazon.in/Aziderm-10-Tube-15-Gel/dp/B0842NYDMK?brandId=berry&crid=2J9JKBX0C2UR5&dib=eyJ2IjoiMSJ9._W-XzAhnwk0x4BJqRma8e7XBZxcYsx3iZ713whwQiU7yuRQbIpZVqGQOGV166VZbkepKYe0a0Uxz7n1rE-533m8a9CDpBF3Vc_9REutyUeknQ1YGNDFm-odVe1N-N9rGL6qPeUTJQGDmcu3Bfd-eu460Z2vtvG7HpCQx4KSOkBPGeUPNJDu6Of7xOKLeCjQaTfQIFBrmkqxH5A4k6ZrxITCpdIwvgowC4DZFt9Ru_nNqT_E--9H_KWzL_DsKVzou-ftjkM-gawo_B47HEOyYbKSBsEgBSG961xdDheCeQxM.6GOIbTsGkwEmakhorUniXi5poapTD12pm5eRlzs7ZDY&dib_tag=se&keywords=aziderm&qid=1709181913&sprefix=aziderm%2Caps%2C248&sr=8-1&linkCode=ll1&tag=thebeautyinout-21&linkId=5c1497a7a1466cae483249a143e70a6b&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/71YLdEHuNhL._SL1500_.jpg,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Dry,Combination,Oily,Sensitive",Bangalore Bio-Plasgens Soundarya Complexion Cream,"Exfoliation,Pigmentation",https://www.1mg.com/otc/bangalore-bio-plasgens-soundarya-complexion-cream-otc388383?srsltid=AfmBOoqweKYB9iBGX1cRDnsgBknKXIc-puOA8ES9KWCedr_0iqFLic5z96w,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/ifafcf4fjlfyodwny2nz.png",Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Dry,Sensitive",Barrier Plus PEPTIDE CERAMIDE MOISTURIZER,"Hydration,Broken barrier,Irritation",https://theformularx.com/products/peptide-ceramide-moisturizer-barrier-plus,https://theformularx.com/cdn/shop/files/barrier_plus_peptide_ceramide_moisturizer.png?v=1708348525,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Oily,Combination",Barrier Relief LIGHTWEIGHT CERAMIDE MOISTURIZER,"Hydration,Broken barrier",https://theformularx.com/products/barrier-relief-moisturizer,https://theformularx.com/cdn/shop/files/barrier_relief_ceramide_moisturizer.png?v=1708348211,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
Dry,Be Minimalist SPF 50 Sunscreen Stick,Sun protection,https://beminimalist.co/products/spf-50-sunscreen-stick,https://beminimalist.co/cdn/shop/products/Stickmailimage-min_900x.png?v=1674808943,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
Combination,BeBodywise 1% Peptide & Ceramide Moisturizer,Broken barrier,https://bebodywise.com/product/1-peptide-ceramide-moisturizer,https://images-static.nykaa.com/media/catalog/product/8/c/8c1b8eeBEBOD00000008_1abc.jpg?tr=w-500,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Dry,Combination,Oily,Sensitive",BeBodywise Broad Spectrum SPF 30 Sunscreen,Sun protection,https://bebodywise.com/product/broad-spectrum-sunscreen,https://m.media-amazon.com/images/I/61XbOyaqdAL.jpg,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
Combination,Bello New Photostable Sunscreen Emulgel SPF 55+/PA++++,Sun protection,https://www.clinikally.com/products/bello-new-photostable-sunscreen-emulgel,https://www.clinikally.com/cdn/shop/products/BelloNewPhotostableSunscreenEmulgel_03.jpg?v=1660060644&width=1000,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Oily,Dry",Bio:Cule Oil Clear Purifying Cleanser,"Pores,Hydration",https://biocule.com/products/oil-clear-purifying-cleanser?variant=41206065561715&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gclid=CjwKCAiA0bWvBhBjEiwAtEsoW1DtMWxGRcRcw6JkVpiD_MK0RVzJPVegFW7hv5Ky35elVNBJ-sYKEhoClZkQAvD_BwE,https://m.media-amazon.com/images/I/71DpTAt5piL.jpg,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
Oily,Blynds SPF 40 sunscreen,Sun protection,https://www.amazon.in/Blynds-Emulgel-Sunscreen-Gel-50g/dp/B08TBW5NX7/ref=asc_df_B08TBW5NX7/?tag=googleshopdes-21&linkCode=df0&hvadid=396986085558&hvpos=&hvnetw=g&hvrand=15571254795346750795&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9062215&hvtargid=pla-1186180634044&psc=1&mcid=33431b857d743611b27a6cbef2e01d56&ext_vrnc=hi&gclid=Cj0KCQiA5-uuBhDzARIsAAa21T-qAfCjmT9zPoXCY-7aquJlWqL1vrJHj-fypkMn-DkiNxtcjmBjc7oaAk4yEALw_wcB,https://m.media-amazon.com/images/I/5194CGDq85L._SX522_.jpg,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Dry,Normal",Ceratop Cream,"Hydration,Skin soothing",https://www.1mg.com/otc/ceratop-cream-for-dry-skin-nourishes-hydrates-the-skin-otc376250?wpsrc=Google+Organic+Search,https://rukminim2.flixcart.com/image/1100/1300/xif0q/moisturizer-cream/l/k/w/100-cream-ceratop-cream-original-imaggbwbmxqgu9p7.jpeg?q=90&crop=false,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Dry,Sensitive",Cerene Hydrating Cloud Cream,"Hydration,Broken barrier",https://www.worldofcerene.com/products/hydrating-cloud-cream,https://www.worldofcerene.com/cdn/shop/products/Orange.jpg?v=1665390508&width=1946,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Oily,Combination",Cerene Illuminating water cream,"Hydration,Broken barrier",https://www.worldofcerene.com/products/illuminating-water-cream,https://www.worldofcerene.com/cdn/shop/products/Blue.jpg?v=1653613147&width=1946,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Dry,Combination,Oily,Sensitive","Clensta Red Aloe Vera Exfoliating Face Scrub With 3% Walnut Shell, lactic Acid & Vitamin E","Exfoliation,Whitehead/Blackhead",https://www.amazon.in/Clensta-Exfoliating-Walnut-Removes-Brighten/dp/B0BGBT71YZ/ref=bmx_dp_oh1k23oo_d_sccl_2_2/259-3625446-4961151?pd_rd_w=PGIYw&content-id=amzn1.sym.6d4c9662-5d86-4cdb-a53a-2ec55003ff87&pf_rd_p=6d4c9662-5d86-4cdb-a53a-2ec55003ff87&pf_rd_r=HE0HM4APZXG6S2TGKB13&pd_rd_wg=mw5A8&pd_rd_r=acbfd5eb-3e57-478c-9bb9-426aa11eec44&pd_rd_i=B0BGBT71YZ&th=1,https://m.media-amazon.com/images/I/610FIY2FDFL._SL1500_.jpg,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Dry,Normal",Clensta Red Aloe Vera Moisturizing Face Wash,"Broken barrier,Hydration",https://www.amazon.in/Clensta-Moisturizing-Hyaluronic-Hydrating-Refreshing/dp/B0CKVPPX1H?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/61RCWIEIJ6L._SL1500_.jpg,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Oily,Combination",Clensta Red Aloe Vera Oil Control Face Wash,"Acne,Pores",https://www.amazon.in/dp/B0CKTN2XPJ/ref=sspa_dk_detail_1?psc=1&pd_rd_i=B0CKTN2XPJ&pd_rd_w=eAb2x&content-id=amzn1.sym.b4e5ca1f-7c9f-49a0-abff-111b926d76ce&pf_rd_p=b4e5ca1f-7c9f-49a0-abff-111b926d76ce&pf_rd_r=4DC0BZHQ1ZC5WY4EX8R5&pd_rd_wg=RZ85i&pd_rd_r=84119f59-e06e-43be-993c-fde390a33300&s=beauty&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM,https://m.media-amazon.com/images/I/51XT5NMFs4L._SL1500_.jpg,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Dry,Combination,Oily,Sensitive",Conscious Chemist Berry Bright Pore Refining & Brightening Face Mask,Skin soothing,https://www.amazon.in/Conscious-Chemist-Refining-Niacinamide-Extracts/dp/B0B75QD6XT?crid=3C5T35NNTB51K&keywords=conscious%2Bchemist&qid=1671553526&sprefix=Consc%2Caps%2C253&sr=8-10&th=1&linkCode=sl1&tag=samaptibanerj-21&linkId=cf3f9ad89186fd1848793cc1e882dbb1&language=en_IN&ref_=as_li_ss_tl,https://m.media-amazon.com/images/I/71OzTo2M3WL._SL1500_.jpg,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Dry,Normal,Combination",Conscious Chemist Pigmentation & Dark Spot Corrector Gel Cream,"Pigmentation,Dark Spots",https://consciouschemist.com/products/pigmentation-corrector-creme-lightweight-gel-cream-with-kojic-acid-tranexamic-niacinamide,https://consciouschemist.com/cdn/shop/files/097A8035_2x_717edd24-a6f0-4c11-a633-8921e3ebead5_800x.jpg?v=1695834394,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Dry,Normal",Cos-IQ FC 2 Face Cleanser,Hydration,https://www.netmeds.com/non-prescriptions/cos-iq-fc-2-face-cleanser-for-dry-skin-hydrating-face-wash-with-salicylic-acid-2-percent-ww-non-comedogenic-non-irritating-formula-for-unisex-100-ml,https://www.netmeds.com/images/product-v1/600x600/1079220/cos_iq_fc_2_face_cleanser_for_dry_skin_hydrating_face_wash_with_salicylic_acid_2_percent_ww_non_comedogenic_non_irritating_formula_for_unisex_100_ml_541346_0_0.jpg,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Dry,Normal",DOUSE BARRIER REPAIR FACE CREAM,Hydration,https://peaucare.in/products/douse-barrier-repair-face-cream,https://peaucare.in/cdn/shop/files/Douse.jpg?v=1705066668&width=800,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Oily,Combination",Deconstruct Breakout Control D.S. Serum,Whitehead/Blackhead,https://thedeconstruct.in/products/breakout-control-double-strength-serum,https://m.media-amazon.com/images/I/61J8X+XmNzL.jpg,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Dry,Combination,Oily,Sensitive",Depiclear Face Wash,"Skin soothing,Pores",https://www.1mg.com/otc/depiclear-face-wash-otc340712,https://images.apollo247.in/pub/media/catalog/product/D/E/DEP0188_1_1.jpg,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
Dry,Deriva Cms Gel,Acne,https://www.1mg.com/drugs/deriva-cms-gel-156191,https://www.skinpharmacy.in/wp-content/uploads/2020/11/DERIVA-CMS-GEL-600x600.jpg,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Dry,Combination,Oily,Sensitive","Dermabay Brightening Serum with Kojic Acid, Alpha Arbutin, Tranexamic Acid, Azelaic Acid","Pigmentation,Dark Spots",https://dermabay.in/products/kojic-acid-serum,https://dermabay.in/cdn/shop/files/Newvitaminc_1.webp?v=1709035147&width=1080,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Oily,Combination",Dermabay Foaming Facewash with Salicylic Acid & Zinc PCA,Acne,https://dermabay.in/products/foaming-facewash,https://dermabay.in/cdn/shop/files/ProductImages.webp?v=1709034904&width=1155,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Dry,Combination,Oily,Sensitive","Dermabay Hydrating Moisturizer with Ceramides, Niacinamide, Olivem & Glycerin",Hydration,https://dermabay.in/products/hydrating-moisturizer,https://dermabay.in/cdn/shop/files/Mosturizerwithpacket.jpg?v=1688447836&width=1155,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Dry,Combination,Oily,Sensitive","Dermabay Hydrating Serum- Hyaluronic acid with Epidermosil, Centella Asiatica Extract, Dolcevia, Niacinamide",Hydration,https://dermabay.in/products/hydrating-serum-hyaluronic-acid-with-epidermosil-centella-asiatica-extract-dolcevia-niacinamide,https://dermabay.in/cdn/shop/files/big1.png?v=1705665404&width=1200,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Dry,Combination,Oily,Sensitive",Dermabay Niacinamide 5%+ Hyaluronic Acid 1% Serum,"Pores,Dark Spots",https://dermabay.in/products/best-niacinamide-serum,https://dermabay.in/cdn/shop/files/Niacianamide.webp?v=1695713825&width=1155,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Dry,Combination,Oily,Sensitive","Dermabay Sunscreen with Tetrahydrocurcumin, Methoxyphenyl Triazine, SPF 50, PA++++ | No white cast",Sun protection,https://dermabay.in/products/sunscreen,https://dermabay.in/cdn/shop/files/Sunscreen.webp?v=1695715170&width=1155,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Dry,Combination,Oily,Sensitive",Dermabay Vitamin C 15% + Hyaluronic Acid 1% Serum,Pigmentation,https://dermabay.in/products/vitamin-c-15-hyaluronic-acid-1-serum,https://dermabay.in/cdn/shop/files/Artboard1_25.webp?v=1705299690&width=1080,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Combination,Oily,Sensitive",Dermoys 365 Lotion,Irritation,https://www.apollopharmacy.in/otc/dermoys-365-lotion-100ml?utm_source=google&utm_medium=ss&campaignid=13258248171&adgroupid=120125018862&keyword=&device=m&adtype=&product_id=DER0414&utm_campaign=Farming_Smart-Shopping_P2City-+All_26+May_pharmacy.in&utm_content=PAN+INDIA&gclid=Cj0KCQjw6pOTBhCTARIsAHF23fISG8jPCNTuflprWlK36_NBvYJRHSaytobsFUopZy_8GcEqPs_FRi0aAmjYEALw_wcB,https://www.clickoncare.com/cdn/shop/files/DER0414_3_1.jpg?v=1691406621,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
Combination,Divine BB Cream,General skincare,No URL available,No Image,Shiseido,Primer,Weekly,86.62,4.3,6736.0,50ml,Unisex,Bottle,Retinol,False,Germany
Combination,Divine BB Cream,General skincare,No URL available,No Image,Pat McGrath Labs,Powder,Occasional,42.04,2.4,3548.0,200ml,Unisex,Jar,Salicylic Acid,True,France
Combination,Divine BB Cream,General skincare,No URL available,No Image,Morphe,Face Oil,Daily,95.04,4.7,6624.0,100ml,Unisex,Bottle,Retinol,False,South Korea
Combination,Divine BB Cream,General skincare,No URL available,No Image,Milk Makeup,Setting Spray,Monthly,101.06,2.4,7920.0,150ml,Female,Spray,Shea Butter,True,Japan
Combination,Divine BB Cream,General skincare,No URL available,No Image,Drunk Elephant,Lipstick,Daily,99.03,1.5,7103.0,100ml,Male,Jar,Salicylic Acid,False,Italy
Combination,Divine BB Cream,General skincare,No URL available,No Image,Becca,Powder,Occasional,141.95,3.7,4892.0,150ml,Female,Compact,Shea Butter,False,Australia
Combination,Divine BB Cream,General skincare,No URL available,No Image,Urban Decay,Exfoliator,Occasional,132.49,2.7,4124.0,30ml,Unisex,Spray,Hyaluronic Acid,False,UK
Combination,Divine BB Cream,General skincare,No URL available,No Image,Huda Beauty,Concealer,Occasional,36.69,2.3,5342.0,30ml,Female,Spray,Vitamin C,True,South Korea
Combination,Divine BB Cream,General skincare,No URL available,No Image,Bobby Brown,Makeup Remover,Weekly,86.13,4.4,153.0,200ml,Female,Compact,Salicylic Acid,True,France
